인덱스,장르,유튜버아이디,구독자 수,유튜브링크,인스타 링크,인스타 링크 2,인스타 링크3
68,푸드,국가비GabieKook,94만,UC47HAkQ6oZ-Hf5SVBGdvP6g,https://www.instagram.com/gabiekook/,,
69,푸드,YAMMoo,67만,UCO61Rl-jslhyeenfjt-NO4w,https://www.instagram.com/yammoo00/,,
70,푸드,더스쿱The SCOOP,60만,UCrEhjhZS6XUaZQ0_xgKPkRQ,https://www.instagram.com/the__scoop/,,
71,푸드,칩chip,47만,UC-YRx5jfreS9abTGxfmV4Hg,,,
72,푸드,키미 Kimi,27만,UCip2Wb2oWTMVvCaVPherr3Q,https://www.instagram.com/life.kimiforest/,,
73,푸드,인어교주해적단 - The Pirates,22만,UCWq4TrLFdm7fFzCb4uo2V4Q,,,
74,푸드,씨즐 Sizzle,21만,UCo1FPeP7toPbyxMs18Di0VQ,https://www.instagram.com/becky.tommy/,,
75,푸드,BoriBori 보리보리,20만,UC9URcUnjhSoEDKxnl0_YT6w,,,
76,푸드,하얀손,18만,UCyjw2Z7tC-iVNgELRxOwIgQ,,,
77,푸드,입금완료,17만,UCiii7jUcdg1rcHLKuNzsfnw,,,
78,푸드,민경장군,10만,UCuLHDMXUqV5JR8Qv-FpwF8g,https://www.instagram.com/gagkimminkyoung/,,
79,푸드,데라세르나de la Serna,9.5만,UCse0BZUEgpbPyyt-S9iqttw,https://www.instagram.com/rheehye/,,
80,푸드,hoonlife,9.4만,UCP7p2SX81x6hEXnmVDCPR7g,https://www.instagram.com/hoon2136/,,
81,푸드,자취생으로 살아남기,8.5만,UCjUXCK0Lu0cdR1Jj-A4Oy8A,,,
82,테크,underKG,46만,UC_0oo0GPlDUU88ubLDnJkSQ,https://www.instagram.com/underkgshow/,,
83,테크,성명준,41만,UCFIeZnCOh_7JZAgJB3XaLXw,https://www.instagram.com/sungmyoungjun/,,
84,테크,JM,33만,UCYAvG7-sBBztgDtwKil1RTQ,https://www.instagram.com/jmtvinsta/,,
85,테크,우파푸른하늘Woopa TV,30만,UCFUpTxU3nlGed-suY-FjjxA,https://www.instagram.com/blueskyh2/,,
86,테크,오프라이드oh-pride,20만,UC8av1CNslnPQS3N08rkzzhQ,https://www.instagram.com/ogana_/,,
87,테크,가전주부 GJJB,20만,UC5aNQ65ADb02zEJxzb_zmYQ,https://www.instagram.com/seoyoungchoi_/,,
88,테크,딴트공말방구 실험실,15만,UCCUfsf35PukA4gEsU2hTtQg,https://www.instagram.com/ddantgong/,,
89,테크,최마태의 POST IT,15만,UCVIZWeFmvOhCjJy4tZqertw,https://www.instagram.com/mate_postit/,,
90,테크,디에디트 THE EDIT,13만,UCJKZoVf3RIMfFffjdseqdEg,https://www.instagram.com/the_edit.co.kr/,,
91,테크,DRGN LAKE STUDIO,13만,UC5Krj_2tLJgAyT7SwTsAIzQ,https://www.instagram.com/drgnlake/,,
92,테크,한상기 Han Sang Ki,11만,UC-IBt8pM8hWx8wiwjcDLdIQ,https://www.instagram.com/hansangki0755/,,
93,테크,Producer dk,11만,UCk3bmbMO_M8qrpCFHTU__AA,https://www.instagram.com/4delight/,,
94,테크,방구석 리뷰룸,10만,UCZTjbqrV3s1zIWfEqliBhYA,https://www.instagram.com/take_jung/,,
95,테크,DC튜브,10만,UCJQDi71H00IXCQbxAtFem3Q,https://www.instagram.com/dctube601/,,
96,테크,Seoulian서울리안,7만,UClfR70cO8tFZHNCbBZsMw0Q,https://www.instagram.com/seoulian.h/,,
97,테크,gonago고나고,7만,UC_pjuSgLRvGFAsita_Dvsiw,https://www.instagram.com/gonago/,,
98,테크,AUTOSONICS오토소닉스,7만,UCQdekhc-rky81G-0Xfng4lg,https://www.instagram.com/autosonics_k/,,
